start_s,end_s,mbps
0.0,1.001054,193.75679493353243
1.001054,2.001049,191.72969595035528
2.001049,3.001055,190.2825458276449
3.001055,4.00107,165.43485910712533
4.00107,5.001786,191.494575438661
5.001786,6.001068,189.12539156797098
6.001068,7.001062,193.23965931610627
7.001062,8.001056,190.66226780003117
8.001056,9.001067,191.9315270380698
9.001067,10.001061,192.53869509625318
10.001061,11.001065,192.13774924344418
11.001065,12.001054,191.3749742649116
12.001054,13.00106,191.55505024292754
13.00106,14.001075,192.27583194576917
14.001075,15.00107,194.5227659346706
15.00107,16.001064,187.93389937506467
16.001064,17.001052,189.63891197535676
17.001052,18.001068,190.34534341495686
18.001068,19.001063,191.52479892447886
19.001063,20.001051,191.48299806849218
20.001051,21.001072,193.35306329128989
21.001072,22.00105,189.65159521879073
22.00105,23.001067,191.62841332415758
23.001067,24.001053,194.157855586853
24.001053,25.001074,191.46590288549092
25.001074,26.001064,192.7227938451761
26.001064,27.001067,190.36938465502257
27.001067,28.001074,191.61954827301741
28.001074,29.001063,191.93574844848962
29.001063,30.00107,191.03721636876037
30.00107,31.001073,192.06246760924216
31.001073,32.001071,189.539968113724
32.001071,33.001064,197.07897437820446
33.001064,34.001072,187.8449956778118
34.001072,35.001067,191.98851324619915
35.001067,36.001053,191.47260197425985
36.001053,37.001061,191.3605515989879
37.001061,38.00034,191.6080651580615
38.00034,39.00105,188.85551059909722
39.00105,40.000697,194.482600216634
40.000697,41.000695,191.83696476872075
41.000695,42.001055,191.29321213769725
42.001055,43.001068,192.0389766815326
43.001068,44.00107,191.78226734212674
44.00107,45.001066,191.7295016739123
45.001066,46.001053,191.6773066189944
46.001053,47.001071,191.93017714113088
47.001071,48.001068,191.729307397863
48.001068,49.001062,191.4063682795675
49.001062,50.001065,190.60663194797053
50.001065,51.001073,192.33110384716537
51.001073,52.001063,189.7032436086673
52.001063,53.001053,192.8953395729766
53.001053,54.001069,192.32956771886893
54.001069,55.001063,191.41715234448833
55.001063,56.001065,189.5499838659785
56.001065,57.000108,197.460684279238
57.000108,58.001052,186.21486574709377
58.001052,59.001064,191.003908286539
59.001064,60.001049,194.15805232587826
60.001049,61.00112,190.334860948604
61.00112,62.001065,190.76867115506482
62.001065,63.001067,192.59106570305
63.001067,64.00105,191.268273136081
64.00105,65.001066,190.76591269676433
65.001066,66.00107,190.70348305669117
66.00107,67.001062,180.49324960362762
67.001062,68.001066,193.1190892659594
68.001066,69.001073,190.32547737466848
69.001073,70.001075,192.76360935338033
70.001075,71.001068,189.70266693772885
71.001068,72.001066,191.51344411308742
72.001066,73.00106,189.44366846397895
73.00106,74.001053,193.3476843571452
74.001053,75.001067,190.8094346879136
75.001067,76.001072,191.52288108512337
76.001072,77.001071,190.14368066859123
77.001071,78.00008,191.56270011178748
78.00008,79.001056,194.3967712725591
79.001056,80.001065,189.17123667734543
80.001065,81.001068,191.0811265338665
81.001068,82.001061,193.23984360509147
82.001061,83.001072,190.65902899387984
83.001072,84.00105,192.80059247819523
84.00105,85.001071,189.48168851596515
85.001071,86.001064,197.07897437820446
86.001064,87.00158,185.72326020881988
87.00158,88.001051,191.87337132924193
88.001051,89.000183,193.30923675572356
89.000183,90.001067,191.92571889912844
90.001067,91.001202,191.9077350268609
91.001202,92.001076,191.547975853109
92.001076,93.00008,191.97386073938912
93.00008,94.001064,191.4864022888703
94.001064,95.001068,192.08382946198728
95.001068,96.001055,192.09788808395115
96.001055,97.002069,191.32983265616258
97.002069,98.001056,191.9231504930022
98.001056,99.001065,191.78094134476748
99.001065,100.001064,191.51325005634706
100.001064,101.00107,191.46877875714569
101.00107,102.002587,192.5796855593076
102.002587,103.001093,190.13638193334816
103.001093,104.001065,190.12724625947845
104.001065,105.001072,192.09404093574534
105.001072,106.00107,194.87805893167422
106.00107,107.001051,189.14417236491445
107.001051,108.001068,196.373292438543
108.001068,109.001072,188.13690145934373
109.001072,110.001066,191.72989022719202
110.001066,111.001067,190.20801060350553
111.001067,112.001066,195.47098206663364
112.001066,113.001078,188.32950848668227
113.001078,114.001072,191.4710726690924
114.001072,115.001064,194.01649361408045
115.001064,116.001067,189.9056740369879
116.001067,117.001063,191.7510697600447
117.001063,118.001057,191.62204957798383
118.001057,119.001065,191.98601860336893
119.001065,120.001063,191.67520444090408
120.001063,121.001061,190.1870094249907
121.001061,122.000178,191.8981788695305
122.000178,123.001057,184.89091177321723
123.001057,124.001049,188.18230301626946
124.001049,125.00107,193.967738394893
125.00107,126.000372,183.11071785921595
126.000372,127.0011,192.02030308192334
127.0011,128.001051,192.82736758034653
128.001051,129.001066,189.59065627810253
129.001066,130.001054,194.599611407183
130.001054,131.001074,191.66019359051379
131.001074,132.001067,190.34971145005127
132.001067,133.001049,176.69902068887282
133.001049,134.001072,190.33322092880735
134.001072,135.001064,192.1077103685859
135.001064,136.001062,189.77721659452178
136.001062,137.00105,193.51041435802114
137.00105,138.00107,191.76803143082802
138.00107,139.001073,189.70077864762374
139.001073,140.001066,193.3476843571452
140.001066,141.001067,191.46973740022906
