488038.074629 [RLC]    E 83541 SDU rejected, SDU buffer full
488039.076756 [RLC]    E 82588 SDU rejected, SDU buffer full
488040.077630 [RLC]    E 84573 SDU rejected, SDU buffer full
488041.078631 [RLC]    E 83540 SDU rejected, SDU buffer full
488042.079614 [RLC]    E 83540 SDU rejected, SDU buffer full
488043.080602 [RLC]    E 83538 SDU rejected, SDU buffer full
488044.081652 [RLC]    E 83546 SDU rejected, SDU buffer full
488045.082547 [RLC]    E 83474 SDU rejected, SDU buffer full
488046.083606 [RLC]    E 83553 SDU rejected, SDU buffer full
488047.084555 [RLC]    E 83529 SDU rejected, SDU buffer full
488048.085567 [RLC]    E 83541 SDU rejected, SDU buffer full
488049.086628 [RLC]    E 83362 SDU rejected, SDU buffer full
488050.087602 [RLC]    E 83716 SDU rejected, SDU buffer full
488051.088585 [RLC]    E 83532 SDU rejected, SDU buffer full
488052.089617 [RLC]    E 83532 SDU rejected, SDU buffer full
488053.092475 [RLC]    E 83097 SDU rejected, SDU buffer full
488054.092545 [RLC]    E 84063 SDU rejected, SDU buffer full
488055.093544 [RLC]    E 83539 SDU rejected, SDU buffer full
488056.094592 [RLC]    E 83490 SDU rejected, SDU buffer full
488057.095576 [RLC]    E 83545 SDU rejected, SDU buffer full
488058.098435 [RLC]    E 82904 SDU rejected, SDU buffer full
488059.102047 [RLC]    E 83033 SDU rejected, SDU buffer full
488060.102545 [RLC]    E 84939 SDU rejected, SDU buffer full
488061.103673 [RLC]    E 83538 SDU rejected, SDU buffer full
488062.104547 [RLC]    E 83534 SDU rejected, SDU buffer full
488063.105551 [RLC]    E 83453 SDU rejected, SDU buffer full
488064.106619 [RLC]    E 83543 SDU rejected, SDU buffer full
488065.107666 [RLC]    E 83515 SDU rejected, SDU buffer full
488066.108545 [RLC]    E 83531 SDU rejected, SDU buffer full
488067.109544 [RLC]    E 83537 SDU rejected, SDU buffer full
488068.110547 [RLC]    E 83500 SDU rejected, SDU buffer full
488069.111592 [RLC]    E 83459 SDU rejected, SDU buffer full
